user_id, q4, sq11, sq12, sq13, q5, sq14, sq15, sq16, q6, sq17, sq18, sq19, mc_result
"1697165804113","yes","Entirely","Entirely","Entirely","yes","Recycle","Recycle","Recycle","no","","","","1"
"1697165804113","yes","","","","yes","","","","no","","","","0"
"1697165804113","no","","","","no","","","","no","","","","0"
"1697165804113","yes","Entirely","Entirely","Partially","no","","","","yes","Partially","Entirely","Entirely","1"
"1697165804113","yes","Entirely","Partially","Partially","no","","","","no","","","","0"
"1697533598409","no","","","","yes","Reduce","Reuse","Repair","no","","","","1"
"1697533598409","no","","","","yes","","","","no","","","","0"
"1697782037237","no","","","","no","","","","no","","","","0"
"1697782037237","no","","","","no","","","","no","","","","0"
"1697782037237","yes","Entirely","Entirely","Entirely","no","","","","no","","","","1"
"1697782037237","yes","","","","no","","","","no","","","","0"
"1697782037237","yes","Entirely","Entirely","Entirely","no","","","","no","","","","1"
"1697782037237","yes","Partially","Not at all","Partially","no","","","","yes","Entirely","Entirely","Entirely","1"
"1697782037237","yes","","","","no","","","","yes","","","","0"
"1697782037237","yes","Entirely","Entirely","Entirely","no","","","","no","","","","1"
"1697782037237","yes","Partially","Partially","Entirely","no","","","","yes","Partially","Partially","Entirely","1"
"1697782037237","yes","Entirely","Entirely","Entirely","no","","","","no","","","","1"
